0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;5,3;0;0;0;4,1;4,2;4,2;4,2;4,3;0;0;0;5,2;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;4,1;4,2;4,2;4,2;4,3;0;3;0;0;0;3;0;0;4,1;4,2;4,3;0;0;5,3;0;0;0;0
9;4,1;4,2;4,2;4,2;4,3;9;3;0;0;0;3;9;3;0;0;0;3;9;9;3;3;3;4,2;4,2;4,2;4,2;4,2;4,3;9
